,Phrase,qui
0,"('herr', 'standerat')",0.00010671161124410756
1,"('nach', 'jahr')",0.00010500224569816137
2,"('million', 'frank')",8.907739874553973e-05
3,"('milliard', 'frank')",8.011671743545516e-05
4,"('frau', 'bundesratin')",7.80074445090771e-05
5,"('herr', 'nationalrat')",6.781238954116661e-05
6,"('frau', 'kollegin')",5.250740053956559e-05
7,"('grund', 'weshalb')",5.07034900423345e-05
8,"('international', 'recht')",4.905453536707236e-05
9,"('imm', 'mehr')",4.274937958018524e-05
10,"('gebund', 'ausgab')",3.6461366744132515e-05
11,"('seit', 'fahn')",3.631334403224569e-05
12,"('uns', 'sicht')",3.620667098910458e-05
13,"('de', 'la')",3.332330939214754e-05
14,"('vorlauf', 'aufnahm')",3.2064041641763134e-05
15,"('herr', 'kolleg')",3.0451232619217315e-05
16,"('hauslich', 'gewalt')",2.899464818439517e-05
17,"('frau', 'nationalratin')",2.8700468269815854e-05
18,"('schutz', 'privatsphar')",2.7860977152329253e-05
19,"('bundesrat', 'folg')",2.746411918997141e-05
20,"('einzutret', 'zuzustimm')",2.5705297307317202e-05
21,"('bundesrat', 'meinung')",2.5179112320350267e-05
22,"('motion', 'verlangt')",2.4911645090655307e-05
23,"('bundesrat', 'bleib')",2.4632014645843587e-05
24,"('vorlauf', 'aufgenomm')",2.4329388629783814e-05
25,"('geschatzt', 'frau')",2.370600507893312e-05
26,"('konsumentinn', 'konsument')",2.3395566376056988e-05
27,"('gut', 'gemeint')",2.3355637379606362e-05
28,"('kommissionsmehr', 'unterstutz')",2.3274355601875008e-05
29,"('betroff', 'person')",2.2439533262208828e-05
30,"('etwa', 'milliard')",2.0666345254953595e-05
31,"('kolleg', 'glattli')",2.0631182930652078e-05
32,"('mind', 'bundesrat')",2.0573049753301496e-05
33,"('bitt', 'ebenfall')",2.0350499642900336e-05
34,"('nam', 'bundesrat')",2.0205705833662704e-05
35,"('etwa', 'prozent')",1.9993325531956266e-05
36,"('auftrag', 'erfull')",1.9892847437642912e-05
37,"('automat', 'informationsaustausch')",1.9845332463271777e-05
38,"('weshalb', 'bundesrat')",1.9843260937402426e-05
39,"('neu', 'aufgab')",1.9725846578770917e-05
40,"('fluchtling', 'vorlauf')",1.9480143289032342e-05
41,"('glaub', 'wichtig')",1.9258256723585642e-05
42,"('direkt', 'demokrati')",1.893272646121043e-05
43,"('kommission', 'unterstutz')",1.8028706135199867e-05
44,"('sinn', 'bitt')",1.7946915706554153e-05
45,"('bitt', 'beim')",1.791302094196558e-05
46,"('eingetrag', 'partnerschaft')",1.7901371188552443e-05
47,"('sag', 'gern')",1.7901371188552443e-05
48,"('leb', 'bedroht')",1.7835148307586374e-05
49,"('entsprech', 'bitt')",1.781135996750587e-05
50,"('guterabwag', 'vorzunehm')",1.781135996750587e-05
51,"('sozialdemokrat', 'fraktion')",1.768236667613923e-05
52,"('offent', 'interess')",1.7610020610287862e-05
53,"('le', 'conseil')",1.7145774239407642e-05
54,"('kolleg', 'fluri')",1.7136085943714395e-05
55,"('europa', 'staat')",1.7067126365417185e-05
56,"('dank', 'unterstutz')",1.6999819740667535e-05
57,"('kanton', 'schwyz')",1.679934640441686e-05
58,"('patientinn', 'patient')",1.6730994007461906e-05
59,"('administrativ', 'aufwand')",1.6305648721623888e-05
60,"('conseil', 'fédéral')",1.588183634015266e-05
61,"('sag', 'bundesrat')",1.5852615124380543e-05
62,"('deshalb', 'bundesrat')",1.583938441839073e-05
63,"('link', 'seit')",1.5837182631244306e-05
64,"('jung', 'leut')",1.568161778450045e-05
65,"('arztinn', 'arzt')",1.5363348983218512e-05
66,"('dafur', 'sorg')",1.5128122369657945e-05
67,"('mind', 'folg')",1.4650495669247478e-05
68,"('bitt', 'motion')",1.454737348383892e-05
69,"('mensch', 'behinder')",1.4464616611139736e-05
70,"('bitt', 'dringend')",1.446425155819076e-05
71,"('offent', 'verkehr')",1.4300408017741362e-05
72,"('letzt', 'zehn')",1.42234695672429e-05
73,"('bitt', 'mehrheit')",1.4220414509604429e-05
74,"('etwa', 'million')",1.4182757851402924e-05
75,"('artikel', 'parlamentsgesetz')",1.4180702015965672e-05
76,"('genet', 'untersuch')",1.4180702015965672e-05
77,"('viel', 'mensch')",1.4145703221166458e-05
78,"('grund', 'warum')",1.410712046444463e-05
79,"('artikel', 'stgb')",1.4080396888540539e-05
80,"('kommissionssprech', 'gesagt')",1.4075191442417107e-05
81,"('wahl', 'herrn')",1.3928829745664483e-05
82,"('arbeit', 'daran')",1.3901710488398328e-05
83,"('eidgenoss', 'zollverwalt')",1.368439051247916e-05
84,"('frau', 'bundesprasidentin')",1.3595204848297069e-05
85,"('dan', 'le')",1.339322671768293e-05
86,"('mittl', 'einkomm')",1.3359396228589713e-05
87,"('sicht', 'notwend')",1.3167848237327379e-05
88,"('kanton', 'aargau')",1.3166797488685121e-05
89,"('jahr', 'etwa')",1.3104671626976763e-05
90,"('absolut', 'zentral')",1.3081622877035563e-05
91,"('kurzung', 'million')",1.298582218723758e-05
92,"('europa', 'menschenrechtskonvention')",1.2862080402099908e-05
93,"('konzept', 'bundesrat')",1.2862080402099908e-05
94,"('mind', 'flach')",1.2857827153128588e-05
95,"('frau', 'standeratin')",1.2786276412422184e-05
96,"('herr', 'pardini')",1.2694454254486637e-05
97,"('didi', 'burkhalt')",1.2679305034561813e-05
98,"('musst', 'wohl')",1.2679305034561813e-05
99,"('schweiz', 'burg')",1.2672177488994578e-05
100,"('kolleg', 'caroni')",1.2560823209451976e-05
101,"('kolleg', 'wermuth')",1.2517664050091094e-05
102,"('stuck', 'weit')",1.2507612284580061e-05
103,"('strukturell', 'defizit')",1.2503861057593372e-05
104,"('rentnerinn', 'rentn')",1.2444155890063826e-05
105,"('gesetz', 'schreib')",1.239459774296776e-05
106,"('bitt', 'antrag')",1.2394081259571758e-05
107,"('neu', 'stell')",1.2335301524454405e-05
108,"('gegenteil', 'gut')",1.2227202232088716e-05
109,"('sprech', 'svpfraktion')",1.2227202232088716e-05
110,"('arbeitnehmerinn', 'arbeitnehm')",1.1976638840485381e-05
111,"('herrn', 'standerat')",1.188930782985924e-05
112,"('national', 'aktionsplan')",1.1873059451625702e-05
113,"('musst', 'eigent')",1.1841892674708405e-05
114,"('ganz', 'wichtig')",1.1819350934594789e-05
115,"('zugang', 'gericht')",1.1787732014908444e-05
116,"('motion', 'ablehn')",1.1610048655150012e-05
117,"('mocht', 'einfach')",1.15754809318314e-05
118,"('schon', 'wichtig')",1.1548631938655769e-05
119,"('absatz', 'seit')",1.1531011611992018e-05
120,"('one', 'one')",1.1531011611992018e-05
121,"('finanzkommission', 'empfiehlt')",1.152243380884076e-05
122,"('gewalt', 'frau')",1.152243380884076e-05
123,"('vorhin', 'gesagt')",1.1446121002148453e-05
124,"('gemeinnutz', 'zweck')",1.1381615198158185e-05
125,"('vereinbar', 'famili')",1.1342231320970287e-05
126,"('modell', 'standerat')",1.1253092601607279e-05
127,"('kolleg', 'jan')",1.1227028255645954e-05
128,"('werkplatz', 'schweiz')",1.1187634841177064e-05
129,"('deshalb', 'meinung')",1.1039943194764854e-05
130,"('kommission', 'rechtsfrag')",1.0975737436663682e-05
131,"('dah', 'bitt')",1.0964678758723784e-05
132,"('dank', 'frag')",1.0860895012828247e-05
133,"('ganz', 'welt')",1.0846957349767933e-05
134,"('one', 'out')",1.0835440932931879e-05
135,"('svpfraktion', 'mind')",1.0835440932931879e-05
136,"('volk', 'stand')",1.0749543893703392e-05
137,"('dafur', 'tun')",1.0748319737679261e-05
138,"('schritt', 'gemacht')",1.0718770532472796e-05
139,"('war', 'wohl')",1.0683030424141179e-05
140,"('frau', 'kien')",1.062698007759139e-05
141,"('militardien', 'leist')",1.062698007759139e-05
142,"('war', 'ja')",1.0584296553704415e-05
143,"('sexuell', 'orientier')",1.0553000162776858e-05
144,"('unabhang', 'davon')",1.0464160545762951e-05
145,"('unbegleitet', 'minderjahr')",1.0405606751488448e-05
146,"('bitt', 'bundesrat')",1.0374260652633882e-05
147,"('global', 'forum')",1.0306032574228116e-05
148,"('al', 'kaida')",1.0290589148730525e-05
149,"('einwohnerinn', 'einwohn')",1.0290589148730525e-05
150,"('mieterinn', 'miet')",1.0290589148730525e-05
151,"('beantragt', 'wahl')",1.0184807113860717e-05
152,"('festgestellt', 'artikel')",1.0184807113860717e-05
153,"('formell', 'festzustell')",1.0184807113860717e-05
154,"('herr', 'rosti')",1.0184807113860717e-05
155,"('bisher', 'praxis')",1.0167120873313646e-05
156,"('wichtig', 'schritt')",1.0155497811456679e-05
157,"('gerichtshof', 'menschenrecht')",1.0145887595455282e-05
158,"('dank', 'zustimm')",1.0140593374528474e-05
159,"('einzig', 'allein')",1.008677797522268e-05
160,"('initiantinn', 'initiant')",1.0058479347137722e-05
161,"('aeschi', 'thomas')",1.001445717818782e-05
162,"('nach', 'ausbauschritt')",9.974478518415894e-06
163,"('stuf', 'bund')",9.960765406858204e-06
164,"('risikobasiert', 'kontroll')",9.946295296674306e-06
165,"('heut', 'entscheid')",9.921386461980604e-06
166,"('unterstutzt', 'bundesrat')",9.921386461980604e-06
167,"('schweiz', 'firm')",9.8210638825687e-06
168,"('mind', 'aeschi')",9.76162886260804e-06
169,"('stadt', 'gemeind')",9.760003539763333e-06
170,"('mocht', 'gern')",9.733431487546888e-06
171,"('letzt', 'zwanzig')",9.595599765592809e-06
172,"('beim', 'volk')",9.44659639396006e-06
173,"('svpfraktion', 'antrag')",9.44659639396006e-06
174,"('eidgenoss', 'steuerverwalt')",9.444010440341593e-06
175,"('landlich', 'raum')",9.442345150725067e-06
176,"('einfach', 'sag')",9.389050511506896e-06
177,"('daran', 'arbeit')",9.380689073154691e-06
178,"('institutionell', 'rahmenabkomm')",9.320438767506576e-06
179,"('tun', 'muss')",9.290494807372383e-06
180,"('falsch', 'ansatz')",9.267750011223195e-06
181,"('kommission', 'empfiehlt')",9.254562767190557e-06
182,"('verlangt', 'bundesrat')",9.25294140301907e-06
183,"('beim', 'entwurf')",9.247652853323387e-06
184,"('wirtschaftsstandort', 'schweiz')",9.247652853323387e-06
185,"('heutig', 'rentnerinn')",9.242987624607371e-06
186,"('aufgenomm', 'person')",9.238860107910703e-06
187,"('famili', 'beruf')",9.238860107910703e-06
188,"('aufgenomm', 'word')",9.23873528253368e-06
189,"('wichtig', 'wiss')",9.238408320340032e-06
190,"('durchaus', 'meinung')",9.212726599109077e-06
191,"('international', 'bereich')",9.212726599109077e-06
192,"('kolleg', 'girod')",9.212726599109077e-06
193,"('schweiz', 'parlament')",9.212726599109077e-06
194,"('zwanzig', 'jahr')",9.203810322150884e-06
195,"('mehr', 'geld')",9.199386030876926e-06
196,"('kommission', 'entschied')",9.076969025922894e-06
197,"('international', 'standard')",9.059811988535279e-06
198,"('einnahm', 'ausgab')",9.030296475151458e-06
199,"('hoh', 'lohn')",9.030296475151458e-06
200,"('darauf', 'sprech')",8.961509261314188e-06
201,"('rechtsprech', 'bundesgericht')",8.961509261314188e-06
202,"('nein', 'sag')",8.917688403067331e-06
203,"('alt', 'mensch')",8.90056347067461e-06
204,"('schwierig', 'situation')",8.90056347067461e-06
205,"('intensiv', 'diskutiert')",8.882288680716553e-06
206,"('genau', 'deshalb')",8.831894823499437e-06
207,"('eidgenoss', 'finanzverwalt')",8.829913349304013e-06
208,"('leut', 'schweiz')",8.829913349304013e-06
209,"('frau', 'leutenegg')",8.80687000464209e-06
210,"('erbracht', 'leistung')",8.753609312699848e-06
211,"('gemass', 'bericht')",8.753609312699848e-06
212,"('mehr', 'ausgeb')",8.753609312699848e-06
213,"('minderheitsantrag', 'birrerheimo')",8.753609312699848e-06
214,"('neu', 'ausgab')",8.753609312699848e-06
215,"('zentral', 'ausgleichsstell')",8.753609312699848e-06
216,"('direkt', 'anwendbar')",8.74026143904744e-06
217,"('nutzerinn', 'nutz')",8.721017574315123e-06
218,"('imm', 'imm')",8.712250701910914e-06
219,"('hoh', 'steu')",8.591681899998647e-06
220,"('land', 'leut')",8.591681899998647e-06
221,"('betroff', 'mensch')",8.590422421741902e-06
222,"('gesagt', 'herr')",8.590422421741902e-06
223,"('kanton', 'unterstutz')",8.585605743786985e-06
224,"('zanetti', 'roberto')",8.554591195900675e-06
225,"('konzept', 'mehrheit')",8.486315128100816e-06
226,"('gibt', 'durchaus')",8.471665901057865e-06
227,"('z', 'b')",8.44614380709341e-06
228,"('gemischt', 'ausschuss')",8.441969327128808e-06
229,"('vorhin', 'erwahnt')",8.441969327128808e-06
230,"('denk', 'wichtig')",8.41765003000714e-06
231,"('dritt', 'generation')",8.41765003000714e-06
232,"('erst', 'blick')",8.415051252335302e-06
233,"('geehrt', 'herr')",8.415051252335302e-06
234,"('einvernehm', 'losung')",8.402973145391478e-06
235,"('erleichtert', 'einburger')",8.402973145391478e-06
236,"('entsprech', 'vorlag')",8.399502777244951e-06
237,"('vereinigt', 'konigreich')",8.399502777244951e-06
238,"('wohl', 'eher')",8.399502777244951e-06
239,"('à', 'la')",8.377009095563307e-06
240,"('deshalb', 'ja')",8.358909431628327e-06
241,"('gibt', 'mind')",8.358909431628327e-06
242,"('heut', 'sag')",8.287177817754575e-06
243,"('schluss', 'gekomm')",8.25579043073299e-06
244,"('buro', 'beantragt')",8.244319475450087e-06
245,"('deutlich', 'gesagt')",8.244319475450087e-06
246,"('denk', 'sollt')",8.223458508322273e-06
247,"('sicherheitspolit', 'bericht')",8.223458508322273e-06
248,"('wirtschaft', 'berechtigt')",8.200480139824127e-06
249,"('zeitversetzt', 'fernseh')",8.200480139824127e-06
250,"('erneuerbar', 'energi')",8.194102228840644e-06
251,"('ja', 'nein')",8.184013863852412e-06
252,"('bundesrat', 'unterstutz')",8.08396636667764e-06
253,"('entscheid', 'gefallt')",8.08396636667764e-06
254,"('bundesratin', 'gesagt')",8.074029419736977e-06
255,"('hoh', 'niveau')",8.074029419736977e-06
256,"('mehr', 'personal')",8.074029419736977e-06
257,"('beid', 'land')",8.061833937947663e-06
258,"('etwa', 'stell')",8.061833937947663e-06
259,"('kollegin', 'riklin')",8.061833937947663e-06
260,"('komm', 'fazit')",8.061833937947663e-06
261,"('prozent', 'reduziert')",8.061833937947663e-06
262,"('teil', 'durchaus')",8.061833937947663e-06
263,"('trotzd', 'bitt')",8.061833937947663e-06
264,"('wohl', 'sinn')",8.061833937947663e-06
265,"('heut', 'geltend')",8.06005609923246e-06
266,"('beid', 'projekt')",8.053670434381059e-06
267,"('kommissionsmind', 'unterstutz')",8.053670434381059e-06
268,"('postulat', 'annahm')",8.053670434381059e-06
269,"('uns', 'kommission')",8.05281073225203e-06
270,"('bitt', 'kommissionsmehr')",8.029796068748028e-06
271,"('interess', 'daran')",8.008188513276738e-06
272,"('abgeandert', 'motion')",7.961195794898615e-06
273,"('strukturell', 'reform')",7.961195794898615e-06
274,"('massnahm', 'ergriff')",7.95679677833551e-06
275,"('standerat', 'mind')",7.95679677833551e-06
276,"('genf', 'fluchtlingskonvention')",7.934730394998442e-06
277,"('postulat', 'bundesrat')",7.934730394998442e-06
278,"('lebenslang', 'tatigkeitsverbot')",7.925790946071943e-06
279,"('grundsatz', 'frag')",7.920208432287303e-06
280,"('kanton', 'entsprech')",7.920208432287303e-06
281,"('administrativ', 'belast')",7.918503681486176e-06
282,"('bleib', 'antrag')",7.918503681486176e-06
283,"('dat', 'austausch')",7.918503681486176e-06
284,"('eigenstand', 'steu')",7.918503681486176e-06
285,"('gut', 'lohn')",7.918503681486176e-06
286,"('kollegin', 'rytz')",7.918503681486176e-06
287,"('burg', 'staat')",7.900640936311355e-06
288,"('entsprech', 'losung')",7.900640936311355e-06
289,"('lauf', 'letzt')",7.900640936311355e-06
290,"('schuldenbrems', 'eingehalt')",7.900640936311355e-06
291,"('schuldenbrems', 'einzuhalt')",7.900640936311355e-06
292,"('einheit', 'materi')",7.892091420290708e-06
293,"('sag', 'mal')",7.822538485856009e-06
294,"('entsprech', 'vorstoss')",7.812047592307915e-06
295,"('finanziell', 'privatsphar')",7.812047592307915e-06
296,"('mocht', 'kurz')",7.791460565753364e-06
297,"('initiativ', 'ahv')",7.751308980203667e-06
298,"('kraft', 'getret')",7.734666859421293e-06
299,"('bundesrat', 'wichtig')",7.681570587547813e-06
300,"('inland', 'arbeitskraftepotenzial')",7.681570587547813e-06
301,"('vereint', 'nation')",7.681570587547813e-06
302,"('muss', 'entsprech')",7.680032766492147e-06
303,"('vornehm', 'muss')",7.680032766492147e-06
304,"('beim', 'bundesamt')",7.674138773804964e-06
305,"('entsprech', 'bericht')",7.639990516606093e-06
306,"('nach', 'generation')",7.631568636660596e-06
307,"('burg', 'mehrheit')",7.627061189749402e-06
308,"('deshalb', 'glaub')",7.627061189749402e-06
309,"('kommission', 'vorschlagt')",7.627061189749402e-06
310,"('bundesrat', 'deshalb')",7.570133583631021e-06
311,"('januar', 'kraft')",7.570133583631021e-06
312,"('viel', 'leut')",7.5306299980280894e-06
313,"('herr', 'tuena')",7.522458044417011e-06
314,"('heut', 'befind')",7.522458044417011e-06
315,"('lotteri', 'sportwett')",7.522458044417011e-06
316,"('que', 'le')",7.522458044417011e-06
317,"('standerat', 'mull')",7.522458044417011e-06
318,"('standerat', 'wurd')",7.522458044417011e-06
319,"('syrerinn', 'syr')",7.522458044417011e-06
320,"('steuerzahlerinn', 'steuerzahl')",7.500027720721478e-06
321,"('sich', 'mehr')",7.459926100296973e-06
322,"('soft', 'law')",7.459926100296973e-06
323,"('sozial', 'wohlfahrt')",7.459926100296973e-06
324,"('etwa', 'gleich')",7.449675839572312e-06
325,"('beim', 'bundesrat')",7.440657382998136e-06
326,"('besond', 'schutzenswert')",7.430495296641888e-06
327,"('fossil', 'energi')",7.430495296641888e-06
328,"('gross', 'schritt')",7.430495296641888e-06
329,"('kolleg', 'kuprecht')",7.430495296641888e-06
330,"('unterstutz', 'komm')",7.430495296641888e-06
331,"('basel', 'iii')",7.371529736103735e-06
332,"('braucht', 'gewiss')",7.371529736103735e-06
333,"('hansjorg', 'walt')",7.371529736103735e-06
334,"('hegglin', 'pet')",7.371529736103735e-06
335,"('kolleg', 'nussbaum')",7.371529736103735e-06
336,"('kollegin', 'semadeni')",7.371529736103735e-06
337,"('recht', 'volk')",7.371529736103735e-06
338,"('vorab', 'mocht')",7.371529736103735e-06
339,"('wirtschaftsplatz', 'schweiz')",7.371529736103735e-06
340,"('herr', 'bundesrat')",7.370475460149383e-06
341,"('umsetz', 'masseneinwanderungsinitiativ')",7.357919497501071e-06
342,"('geschatzt', 'kollegin')",7.35272544602168e-06
343,"('international', 'wettbewerb')",7.330723889783185e-06
344,"('unternehm', 'land')",7.330723889783185e-06
345,"('motion', 'engl')",7.261543968262673e-06
346,"('uberleg', 'bundesrat')",7.261543968262673e-06
347,"('bereich', 'entsprech')",7.251503462386617e-06
348,"('bundesratin', 'frag')",7.251503462386617e-06
349,"('frank', 'steu')",7.251503462386617e-06
350,"('frank', 'voranschlag')",7.251503462386617e-06
351,"('prozent', 'geh')",7.251503462386617e-06
352,"('viel', 'schweiz')",7.251503462386617e-06
353,"('dien', 'leist')",7.248725184403563e-06
354,"('eigenstand', 'steuer')",7.248725184403563e-06
355,"('kost', 'steuerzahl')",7.248725184403563e-06
356,"('meinung', 'mind')",7.248725184403563e-06
357,"('produzier', 'landwirtschaft')",7.248725184403563e-06
358,"('schweiz', 'holz')",7.248725184403563e-06
359,"('zuwander', 'eigenstand')",7.248725184403563e-06
360,"('systemrelevant', 'bank')",7.234975583407093e-06
361,"('herr', 'glattli')",7.2319879363194685e-06
362,"('stark', 'gewachs')",7.2319879363194685e-06
363,"('bundesrat', 'begrusst')",7.164521377502403e-06
364,"('dafur', 'dank')",7.164521377502403e-06
365,"('integration', 'arbeitsmarkt')",7.164521377502403e-06
366,"('kommission', 'gross')",7.164521377502403e-06
367,"('national', 'programm')",7.164521377502403e-06
368,"('muss', 'tun')",7.150874303230187e-06
369,"('ehrlich', 'sag')",7.142110283589667e-06
370,"('finanzplatz', 'schweiz')",7.128170058458078e-06
371,"('bundesrat', 'botschaft')",7.110895627773062e-06
372,"('ganz', 'herzlich')",7.103063098320418e-06
373,"('polit', 'bildung')",7.083058931487752e-06
374,"('besond', 'wichtig')",7.072651572479236e-06
375,"('vertreterinn', 'vertret')",7.047044564054601e-06
376,"('recht', 'schweiz')",7.031040892152878e-06
377,"('aufgrund', 'uberpruf')",6.9920960310734615e-06
378,"('besond', 'teil')",6.9920960310734615e-06
379,"('einstimm', 'verabschiedet')",6.9920960310734615e-06
380,"('empfiehlt', 'mehrheit')",6.9920960310734615e-06
381,"('herr', 'glarn')",6.9920960310734615e-06
382,"('medizin', 'bereich')",6.9920960310734615e-06
383,"('postulat', 'ablehn')",6.9920960310734615e-06
384,"('schutzbedurft', 'person')",6.9920960310734615e-06
385,"('sinn', 'glaub')",6.9920960310734615e-06
386,"('weit', 'argument')",6.9920960310734615e-06
387,"('bundesrat', 'parmelin')",6.929110999007869e-06
388,"('gibt', 'staat')",6.929110999007869e-06
389,"('konzept', 'mind')",6.929110999007869e-06
390,"('mensch', 'leb')",6.929110999007869e-06
391,"('verschied', 'akteur')",6.929110999007869e-06
392,"('kommission', 'einstimm')",6.86573111422105e-06
393,"('klipp', 'klar')",6.855588541896504e-06
394,"('stark', 'gebund')",6.852861023495948e-06
395,"('vorlag', 'unterbreit')",6.852861023495948e-06
396,"('geschatzt', 'kolleg')",6.834755876756787e-06
397,"('bundesrat', 'verwalt')",6.803434016021375e-06
398,"('spielerinn', 'spiel')",6.775384975315771e-06
399,"('zuhand', 'materiali')",6.770068924446782e-06
400,"('parlamentar', 'initiativ')",6.7137269599512805e-06
401,"('seit', 'einfuhr')",6.7122591251563e-06
402,"('gut', 'grund')",6.710397837293576e-06
403,"('erst', 'tranch')",6.706761728460872e-06
404,"('schweizer', 'gewerbeverband')",6.706761728460872e-06
405,"('weit', 'mal')",6.706761728460872e-06
406,"('alt', 'syst')",6.683036009384243e-06
407,"('empfehl', 'gegenvorschlag')",6.683036009384243e-06
408,"('entsprech', 'berucksicht')",6.683036009384243e-06
409,"('fishing', 'expedition')",6.683036009384243e-06
410,"('frank', 'schuld')",6.683036009384243e-06
411,"('geht', 'differenz')",6.683036009384243e-06
412,"('grundsatz', 'leb')",6.683036009384243e-06
413,"('kolleg', 'nordmann')",6.683036009384243e-06
414,"('viel', 'arbeitsplatz')",6.683036009384243e-06
415,"('arbeitsplatz', 'schweiz')",6.660063275841574e-06
416,"('wesent', 'hoh')",6.660063275841574e-06
417,"('europa', 'raum')",6.649611461707609e-06
418,"('jahr', 'verabschiedet')",6.649611461707609e-06
419,"('kaida', 'islam')",6.649611461707609e-06
420,"('privat', 'organisation')",6.649611461707609e-06
421,"('zwangsweis', 'ruckfuhr')",6.649611461707609e-06
422,"('durchaus', 'sinn')",6.6437153457761326e-06
423,"('halb', 'million')",6.623876318996212e-06
424,"('migrantinn', 'migrant')",6.623876318996212e-06
425,"('neu', 'verhandeln')",6.623876318996212e-06
426,"('regierungsrat', 'kanton')",6.623876318996212e-06
427,"('status', 'vorlauf')",6.623876318996212e-06
428,"('direkt', 'bundessteu')",6.623656057078175e-06
429,"('bundesverfass', 'artikel')",6.619391174681201e-06
430,"('erhoh', 'mehrwertsteu')",6.607938551339783e-06
431,"('gut', 'unterweg')",6.607938551339783e-06
432,"('herr', 'gross')",6.607938551339783e-06
433,"('misstrau', 'gegenub')",6.607938551339783e-06
434,"('schwarz', 'schaf')",6.607938551339783e-06
435,"('steuerreform', 'ahvfinanzier')",6.607938551339783e-06
436,"('mehrheit', 'stimm')",6.600103364979388e-06
437,"('prozent', 'unternehm')",6.600103364979388e-06
438,"('ressourcenschwach', 'kanton')",6.584891642815978e-06
439,"('beseit', 'heiratsstraf')",6.582983694648433e-06
440,"('herr', 'hadorn')",6.582983694648433e-06
441,"('mehr', 'handlungsspielraum')",6.582983694648433e-06
442,"('prozent', 'lieg')",6.582983694648433e-06
443,"('staatlich', 'eingriff')",6.582983694648433e-06
444,"('versproch', 'wurd')",6.582983694648433e-06
445,"('gesetz', 'grundlag')",6.50694482126612e-06
446,"('empfiehlt', 'stimm')",6.506557010584042e-06
447,"('end', 'jahr')",6.499588265244729e-06
448,"('besteht', 'gefahr')",6.4940285234152226e-06
449,"('bevolker', 'entschied')",6.462743715823995e-06
450,"('gemeinsam', 'kanton')",6.462743715823995e-06
451,"('motionar', 'mocht')",6.462743715823995e-06
452,"('sozialdemokrat', 'partei')",6.462743715823995e-06
453,"('tief', 'mittl')",6.462743715823995e-06
454,"('vorrednerinn', 'vorredn')",6.462743715823995e-06
455,"('wurd', 'dargelegt')",6.462743715823995e-06
456,"('gesetz', 'verordn')",6.44659585591464e-06
457,"('lieb', 'herr')",6.44659585591464e-06
458,"('absolut', 'verjahrungsfrist')",6.430949259307675e-06
459,"('inhalt', 'motion')",6.430949259307675e-06
460,"('sei', 'bereit')",6.430949259307675e-06
