,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",194.0,2,11,330.7211298942545
1,FDP.Die Liberalen (FDP-Liberale),"('artikel', 'absatz')",977.0,8,11,311.1292953028083
2,Christlichdemokratische Volkspartei der Schweiz (CVP),"('artikel', 'absatz')",920.0,8,11,292.9774326290518
3,FDP.Die Liberalen (FDP-Liberale),"('nam', 'fdpfraktion')",141.0,2,11,240.36948100561796
4,FDP.Die Liberalen (FDP-Liberale),"('million', 'frank')",2134.0,10,11,203.3919237024294
5,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'cvpfraktion')",74.0,1,11,177.44425018707943
6,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",461.0,8,11,146.80717004564445
7,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",179.0,5,11,141.1338675052044
8,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",428.0,8,11,136.2981969187328
9,Schweizerische Volkspartei (SVP),"('million', 'frank')",1428.0,10,11,136.102936760576
10,Schweizerische Volkspartei (SVP),"('mehrheit', 'svpfraktion')",76.0,2,11,129.56085501012032
11,Sozialdemokratische Partei der Schweiz (SP),"('million', 'frank')",1099.0,10,11,104.7458876049531
12,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",475.0,9,11,95.31858034452183
13,Christlichdemokratische Volkspartei der Schweiz (CVP),"('million', 'frank')",978.0,10,11,93.21335584862979
14,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'bitt')",38.0,1,11,91.12002036633808
15,FDP.Die Liberalen (FDP-Liberale),"('nach', 'jahr')",282.0,8,11,89.80395217542676
16,Christlichdemokratische Volkspartei der Schweiz (CVP),"('uns', 'kommission')",194.0,7,11,87.6851140061531
20,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'spoerry')",83.0,4,11,83.96287566931383
21,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",259.0,8,11,82.47951635970045
22,FDP.Die Liberalen (FDP-Liberale),"('absatz', 'buchstab')",179.0,7,11,80.90533715000724
23,FDP.Die Liberalen (FDP-Liberale),"('gemass', 'artikel')",178.0,7,11,80.45335202626418
24,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'kommission')",399.0,9,11,80.06760748939834
25,FDP.Die Liberalen (FDP-Liberale),"('direkt', 'bundessteu')",176.0,7,11,79.54938177877807
26,FDP.Die Liberalen (FDP-Liberale),"('herr', 'david')",100.0,5,11,78.84573603642703
27,FDP.Die Liberalen (FDP-Liberale),"('herr', 'kolleg')",174.0,7,11,78.64541153129196
28,FDP.Die Liberalen (FDP-Liberale),"('grund', 'dafur')",239.0,8,11,76.11044173732977
29,Christlichdemokratische Volkspartei der Schweiz (CVP),"('verdeckt', 'ermittl')",125.0,6,11,75.76697544628944
30,FDP.Die Liberalen (FDP-Liberale),"('bitt', 'antrag')",234.0,8,11,74.51817308173709
31,FDP.Die Liberalen (FDP-Liberale),"('offent', 'verkehr')",164.0,7,11,74.12556029386138
32,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",363.0,9,11,72.8434624527609
33,FDP.Die Liberalen (FDP-Liberale),"('schluss', 'gekomm')",118.0,6,11,71.52402482129723
34,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",54.0,3,11,70.16128114303409
35,FDP.Die Liberalen (FDP-Liberale),"('frau', 'spoerry')",69.0,4,11,69.80046290581511
36,FDP.Die Liberalen (FDP-Liberale),"('arme', 'xxi')",154.0,7,11,69.60570905643081
37,Christlichdemokratische Volkspartei der Schweiz (CVP),"('absatz', 'buchstab')",153.0,7,11,69.15372393268775
38,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'cvpfraktion')",52.0,3,11,67.56271517477357
39,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bittet')",28.0,1,11,67.14106763835437
40,FDP.Die Liberalen (FDP-Liberale),"('beschluss', 'nationalrat')",146.0,7,11,65.98982806648635
41,FDP.Die Liberalen (FDP-Liberale),"('parlamentar', 'initiativ')",325.0,9,11,65.21797602519915
42,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'kommission')",325.0,9,11,65.21797602519915
43,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",27.0,1,11,64.743172365556
44,Schweizerische Volkspartei (SVP),"('svpfraktion', 'mind')",27.0,1,11,64.743172365556
45,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bundesamt', 'justiz')",64.0,4,11,64.74245834742271
46,Christlichdemokratische Volkspartei der Schweiz (CVP),"('gemass', 'artikel')",140.0,7,11,63.27791732402801
47,FDP.Die Liberalen (FDP-Liberale),"('beim', 'bund')",137.0,7,11,61.92196195279884
48,Sozialdemokratische Partei der Schweiz (SP),"('pro', 'helvetia')",61.0,4,11,61.70765561238727
49,FDP.Die Liberalen (FDP-Liberale),"('nam', 'kommission')",78.0,5,11,61.49967410841308
50,FDP.Die Liberalen (FDP-Liberale),"('nationalrat', 'beschloss')",77.0,5,11,60.71121674804881
51,FDP.Die Liberalen (FDP-Liberale),"('entwurf', 'bundesrat')",190.0,8,11,60.50620891252157
52,Christlichdemokratische Volkspartei der Schweiz (CVP),"('rechnung', 'getrag')",132.0,7,11,59.66203633408355
53,Sozialdemokratische Partei der Schweiz (SP),"('nach', 'jahr')",186.0,8,11,59.232393988047434
54,Christlichdemokratische Volkspartei der Schweiz (CVP),"('entwurf', 'bundesrat')",182.0,8,11,57.958579063573296
55,FDP.Die Liberalen (FDP-Liberale),"('mind', 'ii')",181.0,8,11,57.64012533245476
56,FDP.Die Liberalen (FDP-Liberale),"('dafur', 'empfehl')",24.0,1,11,57.549486547160896
57,Schweizerische Volkspartei (SVP),"('bitt', 'antrag')",179.0,8,11,57.00321787021769
58,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'brunn')",56.0,4,11,56.64965105399487
59,Christlichdemokratische Volkspartei der Schweiz (CVP),"('parlamentar', 'initiativ')",282.0,9,11,56.58913612032665
60,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bund', 'kanton')",281.0,9,11,56.3884654248645
61,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'ii')",176.0,8,11,56.04785667686209
62,FDP.Die Liberalen (FDP-Liberale),"('uns', 'kommission')",124.0,7,11,56.046155344139095
63,FDP.Die Liberalen (FDP-Liberale),"('nationalrat', 'folg')",69.0,5,11,54.40355786513465
64,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nationalrat', 'folg')",69.0,5,11,54.40355786513465
65,FDP.Die Liberalen (FDP-Liberale),"('europa', 'union')",89.0,6,11,53.946086517758076
66,FDP.Die Liberalen (FDP-Liberale),"('drei', 'jahr')",169.0,8,11,53.818680559032344
67,FDP.Die Liberalen (FDP-Liberale),"('postulat', 'uberweis')",119.0,7,11,53.78622972542381
68,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beschluss', 'nationalrat')",119.0,7,11,53.78622972542381
69,FDP.Die Liberalen (FDP-Liberale),"('etwa', 'million')",117.0,7,11,52.882259477937694
70,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nach', 'jahr')",165.0,8,11,52.54486563455821
71,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'kommission')",66.0,5,11,52.038185784041836
72,Sozialdemokratische Partei der Schweiz (SP),"('offent', 'verkehr')",115.0,7,11,51.97828923045158
73,FDP.Die Liberalen (FDP-Liberale),"('herr', 'plattn')",51.0,4,11,51.591646495602475
