,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,FDP.Die Liberalen (FDP-Liberale),"('artikel', 'absatz')",1430.0,9,13,525.8464355792038
1,Christlichdemokratische Volkspartei der Schweiz (CVP),"('artikel', 'absatz')",1160.0,9,13,426.5607449453681
2,FDP.Die Liberalen (FDP-Liberale),"('nam', 'fdpfraktion')",224.0,2,13,419.2836876259565
3,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",207.0,2,13,387.4630506186294
4,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'cvpfraktion')",144.0,1,13,369.3527074744613
5,FDP.Die Liberalen (FDP-Liberale),"('million', 'frank')",2657.0,12,13,212.6734742885861
6,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",504.0,9,13,185.33328918315993
7,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",185.0,5,13,176.76961733007573
8,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",465.0,9,13,170.99202275827255
10,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'unterstutzt')",101.0,3,13,148.10004394813612
11,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'beantragt')",296.0,8,13,143.71031347138344
12,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'beantragt')",293.0,8,13,142.25379002403835
13,FDP.Die Liberalen (FDP-Liberale),"('antrag', 'kommission')",219.0,7,13,135.56958664096294
14,FDP.Die Liberalen (FDP-Liberale),"('absatz', 'buchstab')",219.0,7,13,135.56958664096294
15,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'cvpfraktion')",114.0,4,13,134.36666958294765
16,FDP.Die Liberalen (FDP-Liberale),"('antrag', 'mind')",798.0,11,13,133.30915956120666
17,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'bitt')",51.0,1,13,130.8124172305384
18,FDP.Die Liberalen (FDP-Liberale),"('stimm', 'enthalt')",208.0,7,13,128.7601553484945
19,Christlichdemokratische Volkspartei der Schweiz (CVP),"('uns', 'kommission')",206.0,7,13,127.52207693168204
20,Christlichdemokratische Volkspartei der Schweiz (CVP),"('antrag', 'kommission')",201.0,7,13,124.42688088965093
21,FDP.Die Liberalen (FDP-Liberale),"('direkt', 'bundessteu')",200.0,7,13,123.8078416812447
22,Schweizerische Volkspartei (SVP),"('million', 'frank')",1543.0,12,13,123.50589794026659
23,FDP.Die Liberalen (FDP-Liberale),"('gemass', 'artikel')",245.0,8,13,118.9494148665167
24,Christlichdemokratische Volkspartei der Schweiz (CVP),"('absatz', 'buchstab')",190.0,7,13,117.61744959718247
25,Christlichdemokratische Volkspartei der Schweiz (CVP),"('stimm', 'enthalt')",188.0,7,13,116.37937118037001
26,Christlichdemokratische Volkspartei der Schweiz (CVP),"('lasst', 'mitteil')",79.0,3,13,115.84062843468072
27,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bund', 'kanton')",314.0,9,13,115.46558095934965
28,FDP.Die Liberalen (FDP-Liberale),"('arme', 'xxi')",183.0,7,13,113.2841751383389
29,FDP.Die Liberalen (FDP-Liberale),"('herr', 'david')",118.0,5,13,112.75035051323749
30,FDP.Die Liberalen (FDP-Liberale),"('ganz', 'klar')",666.0,11,13,111.25802038566871
31,Christlichdemokratische Volkspartei der Schweiz (CVP),"('million', 'frank')",1386.0,12,13,110.9391928355214
32,FDP.Die Liberalen (FDP-Liberale),"('bitt', 'antrag')",297.0,9,13,109.21425969721925
33,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",295.0,9,13,108.47881013696862
34,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",649.0,11,13,108.41810094639489
35,FDP.Die Liberalen (FDP-Liberale),"('beschluss', 'nationalrat')",167.0,7,13,103.37954780383933
36,FDP.Die Liberalen (FDP-Liberale),"('bund', 'kanton')",277.0,9,13,101.8597640947129
