,Phrase,qui
0,"('nam', 'svpfraktion')",0.00019037104887713508
1,"('million', 'frank')",0.00015174063697195265
2,"('nam', 'spfraktion')",0.0001289231643465426
3,"('milliard', 'frank')",7.081952846654785e-05
4,"('svpfraktion', 'bitt')",5.976337164182666e-05
5,"('z', 'b')",5.80498568493789e-05
6,"('herr', 'bloch')",4.8839355146289856e-05
7,"('herr', 'kolleg')",4.839214241637025e-05
8,"('svpfraktion', 'antrag')",4.459214199378276e-05
9,"('mittl', 'einkomm')",4.172334678476888e-05
10,"('konsumentinn', 'konsument')",4.039488098927246e-05
11,"('arbeitnehmerinn', 'arbeitnehm')",4.013008655593498e-05
12,"('herr', 'schluer')",3.729505379699722e-05
13,"('neu', 'steu')",3.6989908158587476e-05
14,"('bitt', 'deshalb')",3.517826231843857e-05
15,"('ganz', 'wichtig')",3.5084915291485e-05
16,"('svpfraktion', 'mehrheit')",3.4415465077907e-05
17,"('servic', 'public')",3.336820777169435e-05
18,"('ablehn', 'empfehl')",3.098755856506713e-05
19,"('mieterinn', 'miet')",2.9788327237164337e-05
20,"('bundesrat', 'couchepin')",2.8656893271504676e-05
21,"('inn', 'sich')",2.7647253900429044e-05
22,"('mehr', 'benotigt')",2.712303161833772e-05
23,"('steu', 'abgab')",2.661610154120873e-05
24,"('herr', 'strahm')",2.495107858819158e-05
25,"('voll', 'ganz')",2.4577554012396728e-05
26,"('neu', 'arme')",2.3523323286322827e-05
27,"('unt', 'mittl')",2.3155303492560514e-05
28,"('konstruktiv', 'referendum')",2.2769254009812643e-05
29,"('artikel', 'absatz')",2.267815221751208e-05
30,"('herr', 'gross')",2.261941629463836e-05
31,"('vergang', 'jahr')",2.2165224494372743e-05
32,"('link', 'seit')",2.162421546679884e-05
33,"('rund', 'million')",2.157061490148391e-05
34,"('spfraktion', 'antrag')",2.126078479729138e-05
35,"('herr', 'cavalli')",2.071799132071371e-05
36,"('uns', 'neutralitat')",2.0505803541385975e-05
37,"('landlich', 'raum')",2.0498882051045084e-05
38,"('aussenpolit', 'kommission')",2.031399055881321e-05
39,"('einseit', 'massnahm')",2.002637792409047e-05
40,"('fraktion', 'svp')",1.9666909703063653e-05
41,"('dank', 'bundesrat')",1.8807033377509816e-05
42,"('nationalrat', 'folg')",1.86613399866135e-05
43,"('parlamentarierinn', 'parlamentari')",1.862441896308536e-05
44,"('mensch', 'behinder')",1.8611988576905742e-05
45,"('kolleg', 'pfist')",1.840835175892666e-05
46,"('bilateral', 'vertrag')",1.7728252416453218e-05
47,"('kolleg', 'leuenberg')",1.7566725045000368e-05
48,"('svpfraktion', 'vorlag')",1.7566725045000368e-05
49,"('zweit', 'saul')",1.7562251022612316e-05
50,"('ganz', 'schweiz')",1.745107918290665e-05
51,"('herr', 'gunt')",1.7399615092586776e-05
52,"('kolleg', 'merz')",1.739336370172882e-05
53,"('sair', 'group')",1.7371244887674043e-05
54,"('arme', 'xxi')",1.7036534789220477e-05
55,"('pensionskass', 'bund')",1.7032627747616583e-05
