,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",249.0,2,13,466.0787420484962
1,FDP.Die Liberalen (FDP-Liberale),"('nam', 'fdpfraktion')",243.0,3,13,356.31990771680273
2,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",266.0,4,13,313.5222290268779
3,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'kommission')",599.0,9,13,220.2671432950651
4,FDP.Die Liberalen (FDP-Liberale),"('teilt', 'antrag')",177.0,4,13,208.62193435247138
5,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'beantragt')",327.0,7,13,202.4258211488351
6,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'bitt')",72.0,1,13,184.67635373723064
7,Sozialdemokratische Partei der Schweiz (SP),"('teilt', 'antrag')",153.0,4,13,180.33421444027186
8,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'beantragt')",291.0,7,13,180.14040964621105
9,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpfraktion', 'unterstutzt')",152.0,4,13,179.15555944393023
10,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'unterstutzt')",109.0,3,13,159.83074049848355
11,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'cvpfraktion')",104.0,3,13,152.4990551545164
12,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'kommission')",366.0,9,13,134.58726952586613
13,FDP.Die Liberalen (FDP-Liberale),"('bundesrat', 'beantragt')",214.0,7,13,132.47439059893182
14,FDP.Die Liberalen (FDP-Liberale),"('schriftlich', 'bericht')",127.0,5,13,121.34995351848441
15,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'rechtsfrag')",246.0,8,13,119.4349226822984
16,FDP.Die Liberalen (FDP-Liberale),"('stimm', 'enthalt')",322.0,9,13,118.40737920035218
17,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bundesrat', 'beantragt')",190.0,7,13,117.61744959718247
18,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",319.0,9,13,117.30420485997624
19,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",99.0,4,13,116.68684463782297
20,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bitt', 'dah')",176.0,7,13,108.95090067949533
21,Christlichdemokratische Volkspartei der Schweiz (CVP),"('schriftlich', 'bericht')",112.0,5,13,107.01728184307287
22,Schweizerische Volkspartei (SVP),"('svpfraktion', 'lehnt')",41.0,1,13,105.16292365592301
23,Schweizerische Volkspartei (SVP),"('svpfraktion', 'unterstutzt')",89.0,4,13,104.90029467440651
24,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",40.0,1,13,102.59797429846147
25,Schweizerische Volkspartei (SVP),"('kommission', 'beantragt')",164.0,7,13,101.52243017862065
26,Christlichdemokratische Volkspartei der Schweiz (CVP),"('artikel', 'absatz')",1264.0,12,13,101.17398249934996
27,FDP.Die Liberalen (FDP-Liberale),"('artikel', 'absatz')",1249.0,12,13,99.9733418842469
28,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'kommission')",269.0,9,13,98.91796585371037
29,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mind')",38.0,1,13,97.4680755835384
30,Schweizerische Volkspartei (SVP),"('muss', 'seh')",156.0,7,13,96.57011651137087
31,Christlichdemokratische Volkspartei der Schweiz (CVP),"('uns', 'kommission')",155.0,7,13,95.95107730296465
32,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'cvpfraktion')",81.0,4,13,95.47105470367335
33,FDP.Die Liberalen (FDP-Liberale),"('liegt', 'schriftlich')",98.0,5,13,93.64012161268876
34,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'unterstutz')",187.0,8,13,90.78996155117805
35,FDP.Die Liberalen (FDP-Liberale),"('bericht', 'kommission')",117.0,6,13,90.46321692331736
36,FDP.Die Liberalen (FDP-Liberale),"('ressourcenstark', 'kanton')",93.0,5,13,88.86256438755159
37,Schweizerische Volkspartei (SVP),"('darum', 'bitt')",177.0,8,13,85.93488339336105
38,FDP.Die Liberalen (FDP-Liberale),"('annahm', 'motion')",176.0,8,13,85.44937557757935
39,FDP.Die Liberalen (FDP-Liberale),"('minderheitsantrag', 'abzulehn')",138.0,7,13,85.42741076005885
40,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",58.0,3,13,85.04754999001877
41,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'empfiehlt')",33.0,1,13,84.64332879623072
43,Sozialdemokratische Partei der Schweiz (SP),"('konsumentinn', 'konsument')",131.0,7,13,81.09413630121529
44,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'mehrheit')",43.0,2,13,80.48749360676842
45,Sozialdemokratische Partei der Schweiz (SP),"('schweiz', 'tourismus')",103.0,6,13,79.63855848804862
46,FDP.Die Liberalen (FDP-Liberale),"('beantragt', 'einstimm')",102.0,6,13,78.86536859981513
47,Schweizerische Volkspartei (SVP),"('stimm', 'enthalt')",214.0,9,13,78.69310294681792
48,FDP.Die Liberalen (FDP-Liberale),"('antrag', 'mehrheit')",471.0,11,13,78.6824738763513
49,FDP.Die Liberalen (FDP-Liberale),"('frau', 'sommaruga')",82.0,5,13,78.35193849224979
50,Christlichdemokratische Volkspartei der Schweiz (CVP),"('de', 'la')",125.0,7,13,77.37990105077793
51,FDP.Die Liberalen (FDP-Liberale),"('geht', 'darum')",463.0,11,13,77.34604119904597
52,Christlichdemokratische Volkspartei der Schweiz (CVP),"('gemass', 'artikel')",210.0,9,13,77.22220382631664
53,FDP.Die Liberalen (FDP-Liberale),"('standerat', 'folg')",99.0,6,13,76.54579893511469
54,Schweizerische Volkspartei (SVP),"('herr', 'kolleg')",208.0,9,13,76.486754266066
55,FDP.Die Liberalen (FDP-Liberale),"('gemass', 'artikel')",207.0,9,13,76.11902948594069
56,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'kommission')",98.0,6,13,75.7726090468812
58,FDP.Die Liberalen (FDP-Liberale),"('motion', 'anzunehm')",151.0,8,13,73.31168018303683
59,FDP.Die Liberalen (FDP-Liberale),"('herr', 'kolleg')",197.0,9,13,72.44178168468751
60,FDP.Die Liberalen (FDP-Liberale),"('beschluss', 'nationalrat')",117.0,7,13,72.42758738352815
61,Christlichdemokratische Volkspartei der Schweiz (CVP),"('stimm', 'enthalt')",195.0,9,13,71.70633212443688
62,FDP.Die Liberalen (FDP-Liberale),"('frau', 'fetz')",75.0,5,13,71.66335837705772
63,FDP.Die Liberalen (FDP-Liberale),"('uns', 'kommission')",115.0,7,13,71.1895089667157
64,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'einstimm')",92.0,6,13,71.13346971748031
65,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'folg')",146.0,8,13,70.88414110412832
66,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'ablehn')",60.0,4,13,70.71929978049877
67,Christlichdemokratische Volkspartei der Schweiz (CVP),"('liegt', 'schriftlich')",74.0,5,13,70.7078469320303
68,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'folg')",192.0,9,13,70.60315778406093
69,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",144.0,8,13,69.91312547256491
70,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'sommaruga')",73.0,5,13,69.75233548700285
71,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'fetz')",73.0,5,13,69.75233548700285
72,FDP.Die Liberalen (FDP-Liberale),"('indirekt', 'teilliquidation')",73.0,5,13,69.75233548700285
73,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",870.0,12,13,69.63715567597663
74,Sozialdemokratische Partei der Schweiz (SP),"('anlegerinn', 'anleg')",59.0,4,13,69.54064478415712
75,Schweizerische Volkspartei (SVP),"('gemass', 'artikel')",189.0,9,13,69.49998344368498
76,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'beantragt')",112.0,7,13,69.33239134149703
77,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bericht', 'kommission')",89.0,6,13,68.81390005277987
78,FDP.Die Liberalen (FDP-Liberale),"('nam', 'kommission')",88.0,6,13,68.04071016454638
79,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'zuzustimm')",184.0,9,13,67.6613595430584
80,Schweizerische Volkspartei (SVP),"('bundesamt', 'justiz')",87.0,6,13,67.26752027631291
81,FDP.Die Liberalen (FDP-Liberale),"('teil', 'antrag')",70.0,5,13,66.88580115192055
82,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'zuzustimm')",108.0,7,13,66.85623450787214
83,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpfraktion', 'eintret')",26.0,1,13,66.68868329399996
84,FDP.Die Liberalen (FDP-Liberale),"('vier', 'jahr')",181.0,9,13,66.55818520268244
85,Sozialdemokratische Partei der Schweiz (SP),"('geht', 'darum')",398.0,11,13,66.48752569594016
86,Christlichdemokratische Volkspartei der Schweiz (CVP),"('schriftlich', 'antwort')",56.0,4,13,66.00467979513219
87,FDP.Die Liberalen (FDP-Liberale),"('bundesamt', 'justiz')",85.0,6,13,65.72114049984594
88,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beschluss', 'nationalrat')",105.0,7,13,64.99911688265347
89,FDP.Die Liberalen (FDP-Liberale),"('schweiz', 'tourismus')",84.0,6,13,64.94795061161246
90,Schweizerische Volkspartei (SVP),"('bundesrat', 'beantragt')",104.0,7,13,64.38007767424725
91,FDP.Die Liberalen (FDP-Liberale),"('fdpfraktion', 'bittet')",25.0,1,13,64.12373393653841
92,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'kommission')",67.0,5,13,64.01926681683824
93,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'rechtsfrag')",131.0,8,13,63.60152386740281
94,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'fdpfraktion')",43.0,3,13,63.05249395811736
95,Sozialdemokratische Partei der Schweiz (SP),"('erneuerbar', 'energi')",171.0,9,13,62.880937401429264
96,FDP.Die Liberalen (FDP-Liberale),"('beantragt', 'ablehn')",53.0,4,13,62.46871480610724
97,FDP.Die Liberalen (FDP-Liberale),"('bund', 'kanton')",371.0,11,13,61.977065410034676
98,Sozialdemokratische Partei der Schweiz (SP),"('ganz', 'wichtig')",127.0,8,13,61.659492604276004
99,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'diskussion')",42.0,3,13,61.58615688932393
101,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bittet')",24.0,1,13,61.558784579076885
102,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",126.0,8,13,61.1739847884943
103,Christlichdemokratische Volkspartei der Schweiz (CVP),"('beantragt', 'annahm')",64.0,5,13,61.152732481755926
104,FDP.Die Liberalen (FDP-Liberale),"('herr', 'lauri')",64.0,5,13,61.152732481755926
105,Christlichdemokratische Volkspartei der Schweiz (CVP),"('landlich', 'raum')",79.0,6,13,61.082001170445054
106,Schweizerische Volkspartei (SVP),"('geht', 'darum')",365.0,11,13,60.97474090205568
107,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",759.0,12,13,60.752415124214096
