,Speaker Party,Phrase,Counts,Freq,N,tf_idf
0,Sozialdemokratische Partei der Schweiz (SP),"('nam', 'spfraktion')",261.0,1,15,706.8011024876769
1,FDP.Die Liberalen (FDP-Liberale),"('fdpliberal', 'fraktion')",572.0,6,15,524.1182986320167
2,Schweizerische Volkspartei (SVP),"('nam', 'svpfraktion')",272.0,4,15,359.5175884751909
3,FDP.Die Liberalen (FDP-Liberale),"('nam', 'fdpliberal')",131.0,2,15,263.9522956910367
4,Christlichdemokratische Volkspartei der Schweiz (CVP),"('million', 'frank')",1772.0,13,15,253.57469493127297
5,Schweizerische Volkspartei (SVP),"('frau', 'bundesratin')",491.0,9,15,250.81538126910144
7,Schweizerische Volkspartei (SVP),"('million', 'frank')",1604.0,13,15,229.53375319963988
8,FDP.Die Liberalen (FDP-Liberale),"('million', 'frank')",1531.0,13,15,219.08739161387072
9,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'rechtsfrag')",314.0,8,15,197.38311905862545
10,Schweizerische Volkspartei (SVP),"('milliard', 'frank')",852.0,12,15,190.1183057197067
11,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'unterstutzt')",118.0,3,15,189.91367366722383
12,Christlichdemokratische Volkspartei der Schweiz (CVP),"('milliard', 'frank')",821.0,12,15,183.20085562896622
13,FDP.Die Liberalen (FDP-Liberale),"('milliard', 'frank')",812.0,12,15,181.19256366713833
14,FDP.Die Liberalen (FDP-Liberale),"('stimm', 'enthalt')",421.0,10,15,170.7008105135372
15,Sozialdemokratische Partei der Schweiz (SP),"('million', 'frank')",1132.0,13,15,161.9901550012421
16,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'kommission')",522.0,11,15,161.9008725746042
17,Christlichdemokratische Volkspartei der Schweiz (CVP),"('stimm', 'enthalt')",384.0,10,15,155.69860151353512
18,Sozialdemokratische Partei der Schweiz (SP),"('milliard', 'frank')",683.0,12,15,152.40704554760526
19,Sozialdemokratische Partei der Schweiz (SP),"('frau', 'bundesratin')",298.0,9,15,152.22603588226522
20,FDP.Die Liberalen (FDP-Liberale),"('bundesrat', 'beantragt')",240.0,8,15,150.86607826136978
21,Christlichdemokratische Volkspartei der Schweiz (CVP),"('artikel', 'absatz')",990.0,13,15,141.66983520426652
24,Schweizerische Volkspartei (SVP),"('svpfraktion', 'bitt')",83.0,3,15,133.58334673203032
25,Christlichdemokratische Volkspartei der Schweiz (CVP),"('mehrheit', 'kommission')",430.0,11,15,133.36661917065095
27,FDP.Die Liberalen (FDP-Liberale),"('frau', 'bundesratin')",247.0,9,15,126.1739290701997
28,Christlichdemokratische Volkspartei der Schweiz (CVP),"('herr', 'nationalrat')",135.0,6,15,123.69924880301095
29,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'bitt')",61.0,2,15,122.90908425307815
30,FDP.Die Liberalen (FDP-Liberale),"('motion', 'abzulehn')",161.0,7,15,122.70454837955037
31,Sozialdemokratische Partei der Schweiz (SP),"('mehrheit', 'kommission')",389.0,11,15,120.65026711019354
32,FDP.Die Liberalen (FDP-Liberale),"('schriftlich', 'bericht')",109.0,5,15,119.74873946482397
33,Christlichdemokratische Volkspartei der Schweiz (CVP),"('frau', 'bundesratin')",231.0,9,15,118.00071908994386
34,Sozialdemokratische Partei der Schweiz (SP),"('fdpliberal', 'fraktion')",128.0,6,15,117.28521367989185
35,Sozialdemokratische Partei der Schweiz (SP),"('konsumentinn', 'konsument')",150.0,7,15,114.3210078070345
36,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'beantragt')",223.0,9,15,113.91411409981593
37,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'rechtsfrag')",180.0,8,15,113.14955869602734
39,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'beantragt')",217.0,9,15,110.84916035721999
40,Sozialdemokratische Partei der Schweiz (SP),"('stimm', 'enthalt')",273.0,10,15,110.69197451352888
41,Sozialdemokratische Partei der Schweiz (SP),"('antrag', 'mind')",773.0,13,15,110.61695213424042
42,Schweizerische Volkspartei (SVP),"('kommission', 'rechtsfrag')",175.0,8,15,110.00651539891547
43,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'antrag')",40.0,1,15,108.3220080440884
44,Christlichdemokratische Volkspartei der Schweiz (CVP),"('nam', 'cvpevpglpfraktion')",80.0,4,15,105.74046719858556
45,Schweizerische Volkspartei (SVP),"('motion', 'abzulehn')",137.0,7,15,104.41318713042484
46,Christlichdemokratische Volkspartei der Schweiz (CVP),"('antrag', 'kommission')",166.0,8,15,104.3490374641141
47,Sozialdemokratische Partei der Schweiz (SP),"('parlamentar', 'initiativ')",728.0,13,15,104.17741417041012
48,Christlichdemokratische Volkspartei der Schweiz (CVP),"('uns', 'kommission')",201.0,9,15,102.67595037696414
49,Schweizerische Volkspartei (SVP),"('artikel', 'absatz')",712.0,13,15,101.88780067215934
50,FDP.Die Liberalen (FDP-Liberale),"('artikel', 'absatz')",711.0,13,15,101.74469982851868
51,Christlichdemokratische Volkspartei der Schweiz (CVP),"('herr', 'standerat')",111.0,6,15,101.70827123803122
52,FDP.Die Liberalen (FDP-Liberale),"('frau', 'fetz')",111.0,6,15,101.70827123803122
53,Sozialdemokratische Partei der Schweiz (SP),"('indirekt', 'gegenvorschlag')",198.0,9,15,101.14347350566617
54,Sozialdemokratische Partei der Schweiz (SP),"('patientinn', 'patient')",130.0,7,15,99.07820676609657
55,Schweizerische Volkspartei (SVP),"('mehrheit', 'kommission')",319.0,11,15,98.93942212892479
56,Schweizerische Volkspartei (SVP),"('stimm', 'enthalt')",243.0,10,15,98.52802127028394
57,Schweizerische Volkspartei (SVP),"('indirekt', 'gegenvorschlag')",192.0,9,15,98.07851976307022
58,Sozialdemokratische Partei der Schweiz (SP),"('geltend', 'recht')",192.0,9,15,98.07851976307022
59,Schweizerische Volkspartei (SVP),"('sicherheitspolit', 'bericht')",156.0,8,15,98.06295086989036
60,FDP.Die Liberalen (FDP-Liberale),"('herr', 'standerat')",107.0,6,15,98.04310831053459
61,Sozialdemokratische Partei der Schweiz (SP),"('spfraktion', 'mind')",35.0,1,15,94.78175703857735
62,Sozialdemokratische Partei der Schweiz (SP),"('europa', 'union')",185.0,9,15,94.50274039670829
63,Christlichdemokratische Volkspartei der Schweiz (CVP),"('bundesrat', 'beantragt')",150.0,8,15,94.29129891335612
64,Sozialdemokratische Partei der Schweiz (SP),"('bitt', 'deshalb')",303.0,11,15,93.97694327606335
65,FDP.Die Liberalen (FDP-Liberale),"('kommission', 'stimm')",148.0,8,15,93.03408159451136
66,Sozialdemokratische Partei der Schweiz (SP),"('mind', 'i')",229.0,10,15,92.85150975676964
67,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpglpfraktion', 'unterstutzt')",70.0,4,15,92.52290879876236
68,Schweizerische Volkspartei (SVP),"('parlamentar', 'initiativ')",637.0,13,15,91.15523739910886
69,Sozialdemokratische Partei der Schweiz (SP),"('artikel', 'absatz')",626.0,13,15,89.58112811906145
70,Christlichdemokratische Volkspartei der Schweiz (CVP),"('kommission', 'rechtsfrag')",142.0,8,15,89.26242963797712
71,Schweizerische Volkspartei (SVP),"('geht', 'darum')",399.0,12,15,89.03427697436969
72,Christlichdemokratische Volkspartei der Schweiz (CVP),"('gemass', 'artikel')",219.0,10,15,88.796858675688
73,Sozialdemokratische Partei der Schweiz (SP),"('kommission', 'beantragt')",173.0,9,15,88.3728329115164
75,Schweizerische Volkspartei (SVP),"('kommission', 'beantragt')",171.0,9,15,87.35118166398442
76,Christlichdemokratische Volkspartei der Schweiz (CVP),"('cvpevpglpfraktion', 'bitt')",32.0,1,15,86.65760643527072
77,Schweizerische Volkspartei (SVP),"('vorlag', 'einzutret')",210.0,10,15,85.14767270271452
78,Schweizerische Volkspartei (SVP),"('schriftlich', 'bericht')",77.0,5,15,84.59314622744445
79,FDP.Die Liberalen (FDP-Liberale),"('mehrheit', 'folg')",208.0,10,15,84.3367424864982
80,Christlichdemokratische Volkspartei der Schweiz (CVP),"('annahm', 'motion')",163.0,9,15,83.26457667385648
81,FDP.Die Liberalen (FDP-Liberale),"('kalt', 'progression')",109.0,7,15,83.07326567311175
82,Christlichdemokratische Volkspartei der Schweiz (CVP),"('vorlag', 'einzutret')",204.0,10,15,82.71488205406554
83,Christlichdemokratische Volkspartei der Schweiz (CVP),"('schriftlich', 'bericht')",75.0,5,15,82.39592165010824
84,FDP.Die Liberalen (FDP-Liberale),"('geht', 'darum')",369.0,12,15,82.33997043494341
85,FDP.Die Liberalen (FDP-Liberale),"('bericht', 'kommission')",108.0,7,15,82.31112562106485
86,Schweizerische Volkspartei (SVP),"('mind', 'i')",200.0,10,15,81.09302162163287
