,Phrase,qui
0,"('million', 'frank')",0.00014528131287371699
1,"('elt', 'sorg')",9.509390174726595e-05
2,"('frau', 'bundesratin')",6.979152108796273e-05
3,"('sicht', 'bundesrat')",6.945909020744979e-05
4,"('herr', 'standerat')",6.896572541879307e-05
5,"('frau', 'kollegin')",6.347533129191179e-05
6,"('milliard', 'frank')",5.853445167323186e-05
7,"('gemeinsam', 'elt')",5.818699775469364e-05
8,"('grund', 'weshalb')",4.930855984281112e-05
9,"('bitt', 'dringend')",4.558610474250651e-05
10,"('konsumentinn', 'konsument')",4.359648870963005e-05
11,"('imm', 'mehr')",4.0882590082045095e-05
12,"('weiterentwickl', 'arme')",4.076446830720294e-05
13,"('angehor', 'arme')",3.983482027555347e-05
14,"('herr', 'nationalrat')",3.9524426820126094e-05
15,"('geltend', 'recht')",3.684512462258017e-05
16,"('rund', 'million')",3.565066172433051e-05
17,"('einburgerungsgesuch', 'stell')",3.552262824133303e-05
18,"('bundesrat', 'meinung')",3.187286486594688e-05
19,"('verurteilt', 'person')",3.1164300760792636e-05
20,"('direkt', 'gegenentwurf')",3.058254080851229e-05
21,"('mehrheit', 'kommission')",3.0572674692907213e-05
22,"('kommission', 'rechtsfrag')",3.011141782547807e-05
23,"('deshalb', 'bundesrat')",2.8173557052810976e-05
24,"('arbeitnehmerinn', 'arbeitnehm')",2.7704937291916554e-05
25,"('herr', 'kolleg')",2.7513258030448037e-05
26,"('unternehmenssteuerreform', 'ii')",2.7285367722783434e-05
27,"('anlegerinn', 'anleg')",2.6962797561747342e-05
28,"('weshalb', 'bundesrat')",2.662450315210017e-05
29,"('zwei', 'drei')",2.5404280279875568e-05
30,"('patientinn', 'patient')",2.4736186987202863e-05
31,"('vorlauf', 'anwend')",2.4423638770230354e-05
32,"('frank', 'pro')",2.433135022863648e-05
33,"('pro', 'jahr')",2.4131927328806707e-05
34,"('link', 'seit')",2.402349953906091e-05
35,"('svpfraktion', 'antrag')",2.3354897918027302e-05
36,"('bundesrat', 'verwalt')",2.2989630478150386e-05
37,"('initiantinn', 'initiant')",2.2675446286400144e-05
38,"('weit', 'mal')",2.25088349095638e-05
39,"('heut', 'geltend')",2.248750036236767e-05
40,"('staatspolit', 'kommission')",2.2298751831408035e-05
41,"('offent', 'krankenkass')",2.1384949639887808e-05
42,"('beid', 'elternteil')",2.138030297574735e-05
43,"('kommission', 'unterstutz')",2.1198346392108332e-05
44,"('ganz', 'wichtig')",2.1034789305883286e-05
45,"('svpfraktion', 'mehrheit')",2.1026951503942763e-05
46,"('seit', 'fahn')",2.0905531426356907e-05
47,"('sag', 'gern')",2.0775859392789757e-05
48,"('lex', 'koll')",2.0657509310341326e-05
49,"('nach', 'jahr')",2.0341104101552435e-05
50,"('staatlich', 'eingriff')",2.01748993553441e-05
51,"('aggressiv', 'werbung')",1.9216165549199688e-05
52,"('rund', 'tisch')",1.9216165549199688e-05
53,"('sicherheitspolit', 'bericht')",1.9056427593157112e-05
54,"('interess', 'daran')",1.8962396880501427e-05
55,"('offent', 'interess')",1.8962396880501427e-05
56,"('mocht', 'kurz')",1.895980011848754e-05
57,"('heut', 'berat')",1.872714402024875e-05
58,"('steuerzahlerinn', 'steuerzahl')",1.8721479669396694e-05
59,"('wohl', 'kind')",1.8530484787697918e-05
60,"('herr', 'schwand')",1.841182124412734e-05
61,"('al', 'kaida')",1.828874714714074e-05
62,"('zivil', 'behord')",1.8092709557704702e-05
63,"('sozial', 'wohlfahrt')",1.762051756807108e-05
64,"('this', 'jenny')",1.744730447996343e-05
65,"('beschuldigt', 'person')",1.7261373471702362e-05
66,"('klar', 'meinung')",1.7230921155253166e-05
67,"('unabhang', 'kontrollinstanz')",1.7101154495263023e-05
68,"('betroff', 'person')",1.7029774775102502e-05
69,"('frau', 'standeratin')",1.6746844698175676e-05
70,"('geschatzt', 'kollegin')",1.665968737983825e-05
71,"('artikel', 'kvg')",1.6606950884776886e-05
72,"('plus', 'prozent')",1.6606950884776886e-05
73,"('vorschlag', 'bundesrat')",1.6509826854463744e-05
74,"('richtig', 'gesagt')",1.6473218962768893e-05
75,"('herr', 'aeschi')",1.640240661747866e-05
76,"('daran', 'erinn')",1.6192435788749163e-05
77,"('amt', 'weg')",1.6177798806380493e-05
78,"('zustand', 'behord')",1.60183975142852e-05
79,"('vorlauf', 'aufgenomm')",1.58311712632635e-05
80,"('drei', 'wort')",1.580408593020157e-05
81,"('uns', 'meinung')",1.5689668497152198e-05
82,"('bundesrat', 'vorlag')",1.554258577715995e-05
83,"('dank', 'frag')",1.5440646735986516e-05
84,"('kanton', 'schwyz')",1.5266183309480208e-05
85,"('entwurf', 'bundesrat')",1.5214587800338035e-05
86,"('flankier', 'massnahm')",1.5163642781210191e-05
87,"('imm', 'imm')",1.5136062491224178e-05
88,"('europa', 'union')",1.500059250620477e-05
89,"('mehr', 'mehr')",1.4994489161413162e-05
90,"('kommissionssprech', 'gesagt')",1.4993689471209064e-05
91,"('neu', 'verfassungsbestimm')",1.4930515181971634e-05
92,"('allgemein', 'wehrpflicht')",1.4903067236522883e-05
93,"('frau', 'mann')",1.4809954846681521e-05
94,"('zusamm', 'kanton')",1.4780189778471359e-05
95,"('etwa', 'million')",1.4490427159175988e-05
96,"('dringend', 'notwend')",1.4457920991625255e-05
97,"('kanton', 'st')",1.4456661223474163e-05
98,"('herr', 'amstutz')",1.4394711277258242e-05
99,"('mittl', 'einkomm')",1.4297471255145459e-05
100,"('neu', 'flugzeug')",1.422046610963319e-05
101,"('arbeit', 'durf')",1.4188065145631162e-05
102,"('olymp', 'winterspiel')",1.4093843594025202e-05
103,"('vorlieg', 'botschaft')",1.4093843594025202e-05
104,"('best', 'dank')",1.4025507238398648e-05
105,"('grund', 'warum')",1.4001999881723329e-05
106,"('voraussetz', 'erfullt')",1.3932699097645774e-05
107,"('herr', 'baad')",1.3893131169710478e-05
108,"('einheit', 'materi')",1.3851904597766233e-05
109,"('auftrag', 'erfull')",1.377230670310188e-05
110,"('bundesratin', 'gesagt')",1.377230670310188e-05
111,"('bundesrat', 'unterstutz')",1.3614468579888817e-05
112,"('chef', 'vbs')",1.3555541806830549e-05
