,Speaker Party,Speaker,"('absatz', 'buchstab')","('angehor', 'arme')","('anlegerinn', 'anleg')","('antrag', 'kommissionsmehr')","('antrag', 'mehrheit')","('antrag', 'mind')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('ausdruck', 'gebracht')","('auslanderinn', 'ausland')","('automat', 'informationsaustausch')","('beantragt', 'stimm')","('beid', 'rat')","('beim', 'eintret')","('beruf', 'vorsorg')","('beschluss', 'nationalrat')","('best', 'dank')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'dringend')","('bitt', 'minderheitsantrag')","('bund', 'kanton')","('bundesrat', 'beantragt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'standerat')","('bundesrat', 'villig')","('bundesrat', 'vorgeschlag')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hinweis')","('darum', 'bitt')","('de', 'la')","('deshalb', 'bundesrat')","('direkt', 'demokrati')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('einfach', 'sag')","('elt', 'sorg')","('entwurf', 'bundesrat')","('erneuerbar', 'energi')","('europa', 'gerichtshof')","('europa', 'union')","('fassung', 'bundesrat')","('folg', 'geb')","('frag', 'herr')","('frag', 'herrn')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'leutenegg')","('frau', 'nationalratin')","('ganz', 'klar')","('ganz', 'wichtig')","('geh', 'davon')","('geht', 'darum')","('geht', 'frag')","('geltend', 'recht')","('gemass', 'artikel')","('gesagt', 'word')","('glaub', 'wichtig')","('gross', 'mehrheit')","('grund', 'weshalb')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'nationalrat')","('herr', 'standerat')","('heut', 'geltend')","('indirekt', 'gegenvorschlag')","('initiativ', 'folg')","('ja', 'schon')","('kanton', 'bern')","('kanton', 'schwyz')","('kanton', 'zurich')","('klar', 'meinung')","('kommission', 'beantragt')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommissionssprech', 'gesagt')","('konsumentinn', 'konsument')","('leutenegg', 'oberholz')","('mehr', 'geld')","('mehrheit', 'folg')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('mehrheit', 'wak')","('mehrheit', 'zuzustimm')","('mieterinn', 'miet')","('milliard', 'frank')","('mind', 'folg')","('minderheitsantrag', 'abzulehn')","('mocht', 'bitt')","('mocht', 'daran')","('mocht', 'einfach')","('motion', 'abzulehn')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'folg')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patientinn', 'patient')","('pro', 'helvetia')","('rentnerinn', 'rentn')","('rund', 'milliard')","('sag', 'sei')","('sbb', 'cargo')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'bericht')","('sicht', 'bundesrat')","('sicht', 'spfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'eintret')","('spfraktion', 'empfiehlt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'minderheitsantrag')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('st', 'gall')","('staatspolit', 'kommission')","('stimm', 'enthalt')","('svpfraktion', 'antrag')","('svpfraktion', 'beantrag')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('teilt', 'antrag')","('uns', 'kommission')","('uns', 'sicht')","('unterstutzt', 'spfraktion')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('worum', 'geht')","('zwanzig', 'jahr')","('zwei', 'drei')","('zweit', 'saul')"
59,Sozialdemokratische Partei der Schweiz (SP),Claude Janiak,1,0,0,1,2,13,1,3,32,4,1,0,3,5,1,9,0,0,11,7,0,0,1,0,2,0,0,1,1,0,1,5,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,5,0,0,0,0,1,0,2,10,2,4,2,0,0,3,5,1,0,0,1,0,1,2,1,0,0,0,0,1,9,2,0,0,0,0,4,10,0,0,0,3,0,0,3,0,3,1,0,0,1,0,9,0,0,1,29,0,1,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,1,15,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0
60,Sozialdemokratische Partei der Schweiz (SP),Doris Stump,3,0,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,1,0,1,0,0,6,3,0,0,2,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0
61,Sozialdemokratische Partei der Schweiz (SP),Ernst Leuenberger,0,0,0,3,3,8,6,0,26,3,0,0,1,5,1,1,8,0,6,2,4,1,3,4,5,1,1,2,1,25,0,10,12,10,5,2,1,0,2,1,3,0,7,0,0,0,2,23,2,4,0,4,0,1,0,1,19,5,1,8,0,6,2,8,0,0,0,37,2,0,1,0,15,6,1,3,0,8,0,11,1,0,0,2,0,0,0,4,0,0,0,3,0,15,1,0,7,0,3,0,4,0,0,0,0,16,8,0,0,1,1,7,0,3,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,5,6,9,0
62,Sozialdemokratische Partei der Schweiz (SP),Erwin Jutzet,0,0,0,0,3,19,1,0,15,0,0,0,1,1,0,0,0,0,3,16,0,2,3,0,0,0,1,1,4,0,0,2,2,0,2,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,6,0,1,0,0,2,0,1,10,1,2,4,0,0,6,0,4,1,0,0,0,0,1,0,0,0,0,0,2,1,29,0,1,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,14,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,1,0
63,Sozialdemokratische Partei der Schweiz (SP),Fabio Pedrina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Sozialdemokratische Partei der Schweiz (SP),Franco Cavalli,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,2,0,0,0,9,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
65,Sozialdemokratische Partei der Schweiz (SP),Gian-Reto Plattner,10,0,0,1,12,35,0,0,21,0,0,0,4,10,0,0,9,0,3,6,2,0,4,13,1,0,1,0,0,12,1,3,15,4,1,0,1,0,0,2,1,0,6,0,1,0,2,12,0,3,0,24,0,0,0,0,10,1,9,13,3,4,3,4,1,1,1,14,0,0,1,3,0,6,4,0,0,1,0,28,4,3,1,1,0,2,4,4,0,0,1,0,0,12,8,0,1,1,0,4,9,0,0,0,4,1,9,0,0,1,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,7,6,6,5
66,Sozialdemokratische Partei der Schweiz (SP),Hans Widmer,2,0,0,0,3,12,1,0,14,1,0,0,0,3,0,0,0,0,4,0,0,2,6,0,0,3,1,1,0,3,1,1,1,1,0,0,0,4,0,0,1,0,3,1,0,1,1,0,1,1,0,6,0,0,0,0,2,0,0,3,1,0,2,0,0,2,0,12,1,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,2,0,7,0,0,1,1,1,2,2,0,4,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,5,4,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0
67,Sozialdemokratische Partei der Schweiz (SP),Hans Zbinden,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,Sozialdemokratische Partei der Schweiz (SP),Hans-Jürg Fehr,0,0,0,1,0,7,2,0,9,0,0,0,3,1,0,0,0,0,2,0,0,2,3,0,1,0,0,0,1,2,0,2,1,1,1,0,0,2,0,0,1,0,1,0,0,1,1,8,1,1,0,0,0,0,0,0,5,0,3,2,1,4,0,0,0,2,0,2,0,0,0,0,7,3,0,4,0,8,0,3,1,0,0,0,0,1,0,8,0,0,0,0,0,4,0,0,2,0,3,0,4,0,1,0,0,7,27,0,0,0,0,2,0,1,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,0,0,0,0,0,0,3
69,Sozialdemokratische Partei der Schweiz (SP),Hildegard Fässler-Osterwalder,4,0,0,4,13,46,3,1,35,0,0,0,1,0,5,0,2,0,7,3,1,1,11,1,2,1,0,1,3,32,3,7,0,3,1,0,0,0,0,2,2,0,15,7,1,0,2,10,0,4,0,1,0,0,0,0,26,10,3,35,5,3,2,4,0,4,1,23,2,0,0,0,1,4,1,0,0,3,0,4,0,3,0,14,2,13,3,16,2,0,3,3,7,32,1,0,25,3,1,1,12,0,3,0,0,1,27,0,0,0,4,1,0,2,3,0,0,3,2,1,3,0,0,0,0,1,1,0,0,1,0,0,1,4,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,0,0,0,2,0,1,2
70,Sozialdemokratische Partei der Schweiz (SP),Jacqueline Fehr,0,0,0,0,4,9,0,7,1,0,0,0,0,1,1,0,0,0,5,9,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,5,3,0,4,1,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,14,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,13,0,0,0,0,0,0,2,0,3,0,0,3,15,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
71,Sozialdemokratische Partei der Schweiz (SP),Jost Gross,1,0,0,1,5,39,24,0,44,8,0,0,3,5,1,16,1,0,8,21,2,2,14,2,6,3,1,1,7,2,1,9,3,9,0,0,0,1,0,1,5,0,4,0,1,0,4,14,0,0,0,20,0,0,0,0,26,9,3,15,3,11,3,6,1,9,3,5,1,0,1,1,4,6,1,0,0,5,4,7,5,10,0,2,1,0,12,13,0,0,0,1,2,16,6,1,2,5,5,1,1,0,25,0,0,4,22,4,0,2,2,4,0,2,1,0,0,1,15,2,5,0,0,1,1,0,0,0,1,5,6,1,0,2,1,4,0,12,0,0,0,0,0,0,0,0,0,0,0,2,14,0,2,0,0,0,3,0,2,4
72,Sozialdemokratische Partei der Schweiz (SP),Mario Fehr,0,0,0,0,0,3,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,2,1,0,1,0,0,0,0,1,0,2,2,1,0,1,1,0,2,1,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
73,Sozialdemokratische Partei der Schweiz (SP),Moritz Leuenberger,4,0,0,4,20,40,2,0,33,13,4,0,0,5,8,0,2,1,2,0,0,0,28,10,5,11,11,2,6,3,4,11,14,28,1,1,4,3,0,2,8,0,17,13,2,50,8,2,6,32,0,1,0,0,6,0,12,6,15,34,7,19,6,14,0,0,8,2,0,0,1,1,5,4,12,1,0,29,0,6,14,0,0,15,10,6,8,26,0,0,0,9,0,36,3,1,3,3,9,1,51,14,0,0,1,22,26,0,0,0,1,8,2,14,94,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,3,4,8,1
74,Sozialdemokratische Partei der Schweiz (SP),Pascale Bruderer Wyss,0,0,0,3,0,6,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,Sozialdemokratische Partei der Schweiz (SP),Paul Günter,1,0,0,0,2,10,0,2,5,0,0,0,0,1,0,0,0,0,3,0,1,0,3,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,0,7,3,3,14,0,0,0,0,0,1,2,16,7,0,0,0,0,5,1,1,0,2,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,2,0,0,11,0,5,1,2,0,2,0,0,0,16,0,0,0,0,3,0,2,5,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,0,0
76,Sozialdemokratische Partei der Schweiz (SP),Paul Rechsteiner,0,0,0,5,14,27,11,0,7,2,0,0,0,1,0,7,3,0,3,2,0,0,2,0,2,1,0,0,0,7,2,1,2,0,0,0,2,3,0,0,2,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6,1,1,1,3,0,6,1,9,0,0,0,2,1,2,3,0,0,1,0,1,1,2,0,1,1,2,0,12,0,0,0,3,9,21,2,0,2,0,0,0,6,0,6,0,0,6,14,0,0,6,5,0,0,1,1,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,38
77,Sozialdemokratische Partei der Schweiz (SP),Peter Jossen,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,5,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,3,0,0,3,1,0,4,7,0,0,0,0,0,2,1,0,3,1,1,0,0,0,10,0,0,3,17,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1
78,Sozialdemokratische Partei der Schweiz (SP),Peter Vollmer,2,0,0,4,1,19,4,0,2,3,0,0,0,0,2,0,1,0,4,18,0,2,2,0,4,2,0,1,0,13,0,3,1,2,3,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,2,0,0,0,0,19,10,4,30,2,2,1,0,0,0,3,14,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,4,0,0,1,6,0,0,0,0,0,3,1,2,11,2,3,1,5,0,4,0,0,28,17,0,0,6,0,1,0,2,3,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,4,0,0,6
79,Sozialdemokratische Partei der Schweiz (SP),Pierre Chiffelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sozialdemokratische Partei der Schweiz (SP),Regine Aeppli,0,0,0,10,4,10,0,0,9,1,9,0,2,3,0,1,0,0,10,13,1,4,3,1,0,0,1,1,3,2,0,4,0,7,0,0,1,0,0,0,0,2,0,6,4,0,0,7,0,0,0,13,1,0,0,0,1,3,1,8,2,5,3,3,1,3,3,10,0,0,0,1,1,4,1,0,0,5,1,2,4,44,0,0,0,0,1,9,0,0,0,1,2,0,1,0,2,0,2,0,5,0,2,0,0,1,15,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,2,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,0,0,0,2,0,0
81,Sozialdemokratische Partei der Schweiz (SP),Remo Gysin,0,0,0,0,2,24,4,0,17,1,1,0,1,0,0,0,0,0,7,1,1,6,6,2,2,0,0,0,1,11,2,7,3,0,2,0,0,0,0,1,0,0,5,1,0,0,0,1,5,1,0,6,0,0,0,0,7,0,1,7,2,1,2,0,0,2,0,43,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,3,0,0,4,5,0,0,0,0,0,19,1,3,1,2,2,0,3,0,18,0,0,0,9,1,0,0,1,0,0,5,6,0,0,1,1,0,0,0,2,4,2,3,0,0,0,1,1,0,0,1,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,2,0,8,0
82,Sozialdemokratische Partei der Schweiz (SP),Roberto Zanetti,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
83,Sozialdemokratische Partei der Schweiz (SP),Rudolf Rechsteiner,0,0,0,3,6,26,3,0,0,1,0,0,0,1,0,10,1,0,2,7,0,3,2,0,0,0,0,0,0,3,0,2,0,6,1,0,1,1,0,0,0,0,1,56,0,4,1,1,1,0,0,1,0,0,0,0,8,0,1,9,4,0,2,0,0,3,1,7,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,8,4,8,1,0,0,2,0,44,0,0,1,2,1,0,9,0,3,0,0,2,4,4,0,3,2,1,0,4,2,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,1,34
84,Sozialdemokratische Partei der Schweiz (SP),Rudolf Strahm,6,0,0,2,11,36,0,0,26,0,0,0,1,0,0,0,2,0,8,1,4,2,5,2,5,4,0,3,2,14,1,16,0,0,0,0,0,0,0,0,10,0,5,2,0,0,1,10,3,1,0,6,1,0,0,0,6,0,4,13,1,0,2,7,0,1,4,27,2,0,0,0,4,6,1,3,0,4,0,1,3,3,0,0,4,3,8,9,0,0,5,4,3,56,2,0,11,10,12,0,5,0,12,0,0,1,26,0,0,0,6,4,0,1,0,0,0,0,7,0,1,3,1,2,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,9,0,0,0,1,2,5,1
85,Sozialdemokratische Partei der Schweiz (SP),Ruth Dreifuss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Sozialdemokratische Partei der Schweiz (SP),Ruth-Gaby Vermot-Mangold,0,0,0,0,0,9,0,0,3,0,7,0,0,0,0,1,0,0,5,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,7,1,0,0,8,0,0,1,0,1,6,1,6,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,27,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
87,Sozialdemokratische Partei der Schweiz (SP),Simonetta Sommaruga,5,0,1,7,4,28,0,0,15,0,0,0,0,3,0,0,2,0,9,49,1,0,3,0,0,2,1,0,12,0,1,3,6,6,0,0,4,0,0,0,1,0,1,6,0,5,3,0,4,1,0,5,0,0,0,0,2,1,17,24,0,0,3,0,0,2,6,16,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,53,0,6,3,3,0,0,3,6,3,7,1,0,1,1,2,0,7,0,26,0,0,0,1,6,0,0,0,1,0,9,7,0,0,0,0,1,6,0,0,3,0,0,0,0,0,1,4,1,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
88,Sozialdemokratische Partei der Schweiz (SP),Stephanie Baumann,1,0,0,4,1,6,0,1,4,0,0,0,0,1,0,0,0,0,0,6,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,1,0
89,Sozialdemokratische Partei der Schweiz (SP),Susanne Leutenegger Oberholzer,1,0,1,3,4,19,15,0,6,0,5,0,0,0,1,1,0,1,7,24,0,3,2,1,2,2,0,0,1,6,3,17,1,9,2,0,2,0,0,0,0,0,4,0,0,0,1,11,2,0,0,6,1,0,0,0,34,1,1,4,0,6,3,2,0,2,1,46,0,0,0,0,0,6,1,0,0,2,1,1,1,2,1,2,0,0,1,4,0,0,1,2,0,15,3,0,0,13,0,0,1,0,5,0,0,1,46,0,0,0,2,1,0,2,13,0,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,1,0,0,0
90,Sozialdemokratische Partei der Schweiz (SP),Urs Hofmann,0,0,0,3,5,11,3,4,8,2,3,0,4,2,0,1,4,0,5,5,0,0,2,5,1,1,1,0,0,14,3,0,0,3,0,0,1,0,1,1,0,0,6,2,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,8,2,0,0,1,0,3,1,12,2,0,0,0,1,0,0,1,0,0,2,5,0,0,0,0,0,4,0,14,0,0,0,0,0,37,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,2,4,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,2
91,Sozialdemokratische Partei der Schweiz (SP),Ursula Koch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
